Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_SmokeTest,Chrome 70.0.3538.77,,2018-11-02 08:01:57,2018-11-02 08:03:01,1m - 3.752s,FAILED
,,,,,,
Test Cases/TC_GoogleSearch - ForceTCFailure,Chrome 70.0.3538.77,,2018-11-02 08:01:59,2018-11-02 08:02:10,11.695s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 08:02:03,2018-11-02 08:02:06,3.730s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 08:02:06,2018-11-02 08:02:08,1.317s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 08:02:08,2018-11-02 08:02:08,0.440s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 08:02:08,2018-11-02 08:02:10,1.348s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-02 08:02:10,2018-11-02 08:02:10,0.853s,PASSED
,,,,,,
Test Cases/TC_MakeAppt,Chrome 70.0.3538.77,,2018-11-02 08:02:10,2018-11-02 08:02:21,11.093s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 08:02:14,2018-11-02 08:02:16,2.001s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 08:02:16,2018-11-02 08:02:17,1.571s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 08:02:17,2018-11-02 08:02:18,0.490s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 08:02:18,2018-11-02 08:02:18,0.265s,PASSED
setEncryptedText,Chrome 70.0.3538.77,,2018-11-02 08:02:18,2018-11-02 08:02:18,0.481s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 08:02:18,2018-11-02 08:02:19,0.346s,PASSED
selectOptionByValue,Chrome 70.0.3538.77,,2018-11-02 08:02:19,2018-11-02 08:02:19,0.465s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 08:02:19,2018-11-02 08:02:19,0.163s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 08:02:19,2018-11-02 08:02:20,0.136s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 08:02:20,2018-11-02 08:02:20,0.336s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 08:02:20,2018-11-02 08:02:20,0.288s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 08:02:20,2018-11-02 08:02:20,0.284s,PASSED
click,Chrome 70.0.3538.77,,2018-11-02 08:02:20,2018-11-02 08:02:21,0.304s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-02 08:02:21,2018-11-02 08:02:21,0.738s,PASSED
,,,,,,
Test Cases/TC_GoogleSearch,Chrome 70.0.3538.77,,2018-11-02 08:02:21,2018-11-02 08:03:00,38.301s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-02 08:02:25,2018-11-02 08:02:27,1.942s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-02 08:02:27,2018-11-02 08:02:28,1.785s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-02 08:02:28,2018-11-02 08:03:00,31.480s,FAILED
